Pitch	Ball_X	Ball_Y	 Ball_V	 Abner_V	 Speed	 Elevation	 Estmated Z	 Abner_Crush	 Omega	 Abner_RPM	 Abner_URPM	 Abner_LRPM	 FRate	 Start Frame	 Frames	 Ball-Thres	 Mark-Thres	 Markers	 Scale	 InitialX	 InitialY	 CL	 rw/V
38	-7	6	120	117.3333333	123.5	-1.59	-0.9	1.07	-711.8	-1100	1721	1984	500	2	7	18	88	0.791	1.204	55.35	6.322	0.264999	0.031749
39	-4.5	6	120	117.3333333	124.2	-1.67	-1.2	1.07	-762.3	-1100	1721	1984	500	2	7	18	88	0.791	1.194	55.247	6.317	0.269496	0.03381
40	-7.5	8	129	124.6666667	132.1	-1.77	1.7	1.07	-638.1	-1100	1845	2108	500	2	7	18	88	0.791	1.219	55.166	6.312	0.251882	0.026609
41	-7	8	128	124.6666667	130	-1.71	1.5	1.07	-739.3	-1100	1845	2108	500	2	7	18	88	0.791	1.193	55.43	6.314	0.259552	0.031327
42	-6	8	129	124.6666667	131.1	-1.74	1.9	1.07	-697.2	-1100	1845	2108	500	2	7	18	88	0.791	1.212	55.208	6.313	0.254442	0.029295
43	-6	8	133	132	137.9	-1.92	3	1.07	-702.5	-1100	1969	2232	500	2	7	18	88	0.791	1.219	55.236	6.305	0.239801	0.028063
44	-6	8.75	133	132	137.2	-1.88	2.7	1.07	-596.3	-1100	1969	2232	500	2	7	18	88	0.791	1.254	55.189	6.307	0.24598	0.023942
45	-7.5	9	135	132	138.2	-1.85	3.4	1.07	-594.2	-1100	1969	2232	500	2	7	18	88	0.791	1.244	55.265	6.312	0.239657	0.023685
46	-9	12	138	139.3333333	141	-1.71	6.5	1.07	-615.9	-1100	2093	2356	500	2	7	18	88	0.791	1.241	55.25	6.318	0.239627	0.024062
47	-6	9	138	139.3333333	140.7	-1.73	6.4	1.07	-686.9	-1100	2093	2356	500	2	7	18	88	0.791	1.255	55.348	6.316	0.211979	0.026893
48	-2	-1	138	139.3333333	140.7	-2.15	-1.4	1.07	-383	-1100	2093	2356	500	2	5	17	70	0.791	1.364	55.19	6.295	0.156844	0.014995
49	-2	-31	91	95.33333333	93.1	-1.58	-30.7	1.07	-845.4	-1300	1301	1612	500	2	7	18	88	0.791	1.179	55.373	6.324	0.204293	0.050022
50	-1.5	-28	91	95.33333333	92.8	-1.45	-29.5	1.07	-909.2	-1300	1301	1612	500	2	7	18	88	0.791	1.172	55.469	6.33	0.227111	0.053971
51	-2.75	-28	91	95.33333333	93.4	-1.59	-30.6	1.07	-831.9	-1300	1301	1612	500	2	7	18	88	0.791	1.156	55.382	6.324	0.233035	0.049065
52	-2	-10	100	102.6666667	103.8	-1.32	-13.4	1.07	-910.2	-1300	1425	1736	500	2	7	18	88	0.791	1.182	55.334	6.331	0.243029	0.048304
53	-4	-10	101	102.6666667	104	-1.43	-14.7	1.07	-919.1	-1300	1425	1736	500	2	7	18	88	0.791	1.178	55.39	6.329	0.255627	0.048683
