  8.0000000e+000  1.0000000e+000  4.7600000e+000  1.5460000e+001  5.6000000e+000  5.5490000e+000  8.0000000e+000  1.9527000e+001
  7.0000000e+000  1.0000000e+000  4.2440000e+000  9.0550000e+000  3.6000000e+000  1.2690000e+000  9.5000000e+000  1.6376000e+001
  2.0000000e+000  1.0000000e+000  4.0870000e+000  1.6186000e+001  1.1000000e+000  2.6080000e+000  1.4000000e+001  1.8433000e+001
  5.0000000e+000  1.0000000e+000  4.3550000e+000  7.5500000e+000  1.8000000e+000  1.8080000e+000  0.0000000e+000  1.4648000e+001
  7.0000000e+000  1.0000000e+000  4.3060000e+000  9.6440000e+000  2.3000000e+000  0.0000000e+000  1.0000000e+001  1.8721000e+001
  1.0000000e+001  1.0000000e+000  4.5080000e+000  1.1916000e+001  1.3000000e+000  0.0000000e+000  1.1100000e+001  2.0002000e+001
  5.0000000e+000  1.0000000e+000  3.9380000e+000  8.5440000e+000  2.8000000e+000  0.0000000e+000  1.3800000e+001  2.3749000e+001
  2.0000000e+000  1.0000000e+000  4.0430000e+000  7.2110000e+000  0.0000000e+000  0.0000000e+000  5.9000000e+000  2.5429000e+001
  5.0000000e+000  1.0000000e+000  4.2380000e+000  7.6810000e+000  5.3000000e+000  1.7240000e+000  1.4000000e+001  2.8253000e+001
  7.0000000e+000  1.0000000e+000  4.3140000e+000  8.8320000e+000  1.3000000e+000  1.2690000e+000  1.4700000e+001  1.9278000e+001
  5.0000000e+000  1.0000000e+000  4.3130000e+000  8.7750000e+000  0.0000000e+000  1.2980000e+000  8.0000000e+000  1.0716000e+001
  7.0000000e+000  1.0000000e+000  4.6890000e+000  8.8880000e+000  3.8000000e+000  1.3090000e+000  8.0000000e+000  1.3375000e+001
  5.0000000e+000  1.0000000e+000  4.0990000e+000  8.6600000e+000  0.0000000e+000  1.4050000e+000  5.5000000e+000  2.3707000e+001
  6.0000000e+000  1.0000000e+000  4.7980000e+000  9.6950000e+000  3.2000000e+000  7.4410000e+000  1.0900000e+001  1.5192000e+001
  3.0000000e+000  1.0000000e+000  4.0600000e+000  1.0100000e+001  1.0000000e+000  4.0810000e+000  1.3000000e+001  2.4717000e+001
  6.0000000e+000  1.0000000e+000  4.3340000e+000  1.3820000e+001  2.1000000e+000  1.6130000e+000  1.1600000e+001  2.4052000e+001
