10/06        11:18:00        -34.855         151.3057        216.4   70.91   -61.23  0.29
10/06        11:18:01        -34.85554       151.30649       214.8   71.38   -60.8   -0.88
10/06        11:18:02        -34.85609       151.30727       212.7   71.86   -60.64  -1.64
10/06        11:18:03        -34.85664       151.30807       210.8   72.4    -60.35  -1.67
10/06        11:18:04        -34.85717       151.30887       209.7   72.83   -60.06  -1.33
