Whirlpool	(WHR)				
Dates	Open	High	Low	Close	Volume
12/5/97	56.1875	56.625	55.875	56.0625	112000
12/8/97	56.5625	56.625	56	56	504200
12/9/97	56.125	56.8125	56	56.75	370400
12/10/97	56.5	57.1875	56.0625	56.5625	223300
12/11/97	56.625	56.75	56.375	56.5625	128400
12/12/97	56.5625	57	56.4375	56.5	563700
12/15/97	56.5625	56.8125	56.25	56.3125	206300
12/16/97	56.75	56.75	56.25	56.25	269500
12/17/97	56.5	56.5	56.0625	56.0625	45700
12/18/97	56.0625	56.5	54.75	54.75	62400
12/19/97	53.75	53.8125	52.5	53.0625	306900
12/22/97	53.1875	53.375	52.25	52.6875	243100
12/23/97	52.5	54.125	52.5	53.5625	126800
12/24/97	53.25	53.5	52.5625	52.5625	45000
12/25/97	NaN	NaN	NaN	NaN	NaN
12/26/97	52.9375	53.125	52.5625	52.5625	13700
12/29/97	52.5625	53.625	52.5625	53.5625	81200
12/30/97	53.6875	54.5625	53.5	54.5625	99600
12/31/97	54.5625	55.25	54.5625	55	75700
1/1/98	NaN	NaN	NaN	NaN	NaN
1/2/98	54.4375	55	53.375	53.9375	122400
1/5/98	54	54.75	54	54.75	177200
1/6/98	54.875	55.3125	54.8125	55.25	118200
1/7/98	54.75	54.75	53.125	53.8125	188300
1/8/98	54.0625	54.375	53.6875	54.125	164300
1/9/98	53.5	53.9375	52.125	52.1875	160800
1/12/98	51.9375	52	50.375	50.5	243900
1/13/98	51.125	53.9375	51.125	53.875	780500
1/14/98	53.875	55	53.625	54.9375	705600
1/15/98	54.9375	55.125	54.125	54.5	301100
1/16/98	54.5	54.6875	54.1875	54.1875	527200
1/19/98	NaN	NaN	NaN	NaN	NaN
1/20/98	54.0625	56.4375	53.875	56.1875	301500
1/21/98	56.6875	57.5	55.1875	55.9375	356600
1/22/98	55.9375	55.9375	54.5625	54.5625	391600
1/23/98	54.625	55.375	53.6875	54.25	254500
1/26/98	54.4375	55.25	54.25	54.75	284500
1/27/98	54.5	56.25	54.375	55.5625	192900
1/28/98	55.75	57.625	55.6875	57	295800
1/29/98	57.375	58.4375	57.3125	57.8125	327700
1/30/98	57.6875	58	56.75	57.8125	148500
2/2/98	57.9375	58.4375	57.6875	58.1875	221700
2/3/98	59	60.5	58.5	60.25	322000
2/4/98	61.125	61.5	59.4375	59.875	489100
2/5/98	60.25	61	59.8125	60.4375	426100
2/6/98	61.75	62	60.875	62	711300
2/9/98	61.625	62	61.0625	62	845100
2/10/98	61.875	62.875	61.6875	62.625	356200
2/11/98	63	63.4375	62.75	63.1875	403600
2/12/98	63.5	63.5	62.625	63.5	534100
2/13/98	63.5	63.5	63	63.0625	202200
2/16/98	NaN	NaN	NaN	NaN	NaN
2/17/98	63.75	64.1875	63.25	63.3125	383900
2/18/98	63.25	63.4375	63.0625	63.4375	310900
2/19/98	63.5	63.8125	63.25	63.25	530800
2/20/98	63.5	64	63.25	64	279100
2/23/98	65.125	65.75	64	65.125	501600
2/24/98	65	65.125	64.5	64.6875	247800
2/25/98	64.6875	65.875	64.625	65.875	223800
2/26/98	65.3125	65.8125	65.125	65.4375	198700
2/27/98	65.1875	67.0625	65.1875	66.8125	410700
3/2/98	66	66.875	65	65.875	388400
3/3/98	65	65.6875	65	65.4375	327400
3/4/98	66	67	65.875	66.9375	351000
3/5/98	67	67.1875	66.3125	66.6875	362200
3/6/98	67.125	68	67.125	67.625	440400
3/9/98	67	68	66.75	67.25	277600
3/10/98	67	68	67	68	124300
3/11/98	68	68.5	67.5	68	189000
3/12/98	67.25	67.9375	67.25	67.875	104000
3/13/98	68	68.875	67.8125	68.3125	172100
3/16/98	68.25	68.8125	68.25	68.5625	301400
3/17/98	69.5	70	69	69.375	450400
3/18/98	69.375	69.5	68.25	68.25	241200
3/19/98	67.125	68.5	67.125	67.25	541400
3/20/98	68	69.5	67.5	67.5	401800
3/23/98	67.5625	69.5	67.5625	68.1875	343400
3/24/98	68	68.875	67.375	68.5	161200
3/25/98	68.75	70	68.75	68.875	382200
3/26/98	68	69.3125	67.75	68.25	166800
3/27/98	68	68.875	67.25	68.4375	170000
3/30/98	68	68.5	67.5625	68	76900
3/31/98	68	69	68	68.6875	222600
4/1/98	68	68.9375	68	68.4375	146000
4/2/98	68	68.4375	66.8125	67.9375	207600
4/3/98	68	68.25	66	66.125	354700
4/6/98	66.1875	67.25	66.1875	67.0625	243500
4/7/98	66.25	66.875	66.25	66.5625	126500
4/8/98	66.5625	69.875	66.5625	68.875	267700
4/9/98	69	69	67.875	69	388300
4/10/98	NaN	NaN	NaN	NaN	NaN
4/13/98	69	73.75	67.125	73.625	995200
4/14/98	73.625	74.5	72.125	74.5	736000
4/15/98	74.125	75	73.625	74.375	464200
4/16/98	73.375	74.8125	73.375	73.9375	266000
4/17/98	73.875	74.75	73.875	74.75	362000
4/20/98	75	75.25	72.875	73.5	702400
4/21/98	73	73.625	72	72	425100
4/22/98	72	72.8125	71.375	71.75	269000
4/23/98	71.5	72.5625	71.5	71.5	319600
4/24/98	71	72	70.8125	70.875	307500
4/27/98	70	70.25	69.75	69.75	231400
4/28/98	70.125	70.1875	70.125	70.125	172200
4/29/98	71.4375	71.4375	71.4375	71.4375	301400
4/30/98	73.875	73.875	72	72	269500
5/1/98	72	72.5	71.625	71.625	135100
5/4/98	72	72.625	71.625	71.625	137500
5/5/98	71.25	72.75	71.25	71.8125	158800
5/6/98	72	72.5	70.0625	70.0625	139100
5/7/98	70	70.25	68.5625	68.5625	162200
5/8/98	68.4375	69	68.4375	68.4375	174100
5/11/98	68	68.4375	67.1875	67.6875	350300
5/12/98	68.1875	68.1875	68	68	208100
5/13/98	68	68.5	67	67.5	277000
5/14/98	67.125	68	67.125	67.4375	240600
5/15/98	67	68	66	66.8125	241700
5/18/98	68.75	68.75	68.75	68.75	683700
5/19/98	67	68.375	65.75	65.8125	311900
5/20/98	66	66.625	65.0625	65.0625	224800
5/21/98	66.625	66.625	66.125	66.125	538800
5/22/98	66	66.75	66	66	149000
5/25/98	NaN	NaN	NaN	NaN	NaN
5/26/98	66	67.25	65.625	65.625	160900
5/27/98	65	66.25	65	65	422600
5/28/98	67.5625	67.5625	67.125	67.125	331700
5/29/98	68.9375	68.9375	68.3125	68.3125	298500
6/1/98	68	69.25	67.375	67.375	305800
6/2/98	67.0625	68.625	67.0625	67.125	299300
6/3/98	67	67.875	67	67	253000
6/4/98	67	68	67	67.4375	234100
6/5/98	67.4375	68.5	67.4375	67.9375	168600
6/8/98	69.1875	69.75	69.1875	69.1875	271500
6/9/98	69	69.25	67.3125	67.375	239100
6/10/98	67	67.625	66.5	66.5	117100
6/11/98	66	66.75	64.625	64.6875	236200
6/12/98	64	64.5	63.25	63.5	137500
6/15/98	62.4375	63.8125	62.4375	62.875	428100
6/16/98	63.25	64.25	63.25	63.25	640500
6/17/98	63.375	65.375	63.25	63.875	319900
6/18/98	64	64	63.1875	63.25	257300
6/19/98	63.3125	63.75	63.3125	63.375	161000
6/22/98	63	63.75	63	63	176900
6/23/98	66.5	66.5	66.4375	66.4375	337700
6/24/98	68.5	68.5	67.8125	67.8125	302500
6/25/98	68	68.125	67.25	67.4375	295300
6/26/98	69	69	68.125	68.125	145000
6/29/98	68	68.5625	66.5625	66.625	165300
6/30/98	69	69	68.75	68.75	149400
7/1/98	69.1875	69.375	69.1875	69.1875	264800
7/2/98	68.25	68.5	68.25	68.25	144500
7/3/98	NaN	NaN	NaN	NaN	NaN
7/6/98	69.375	69.9375	69.375	69.375	231100
7/7/98	69	69.625	68.75	68.875	133900
7/8/98	69.4375	69.4375	69.25	69.25	195500
7/9/98	69	69.375	67.5	67.75	210700
7/10/98	67	67.5	66.5	66.5625	103300
7/13/98	68.5	68.5	68	68	113100
7/14/98	69.875	69.875	69.3125	69.3125	220800
7/15/98	69	69.5625	63.9375	63.9375	1825500
7/16/98	64	65	63.125	63.125	897200
7/17/98	63.25	63.5	62	62.25	398600
7/20/98	62.25	62.375	60.5	60.75	318000
7/21/98	60.875	61.25	58.8125	58.875	369900
7/22/98	60.3125	60.3125	59.625	59.625	398300
7/23/98	61.25	61.25	60.625	60.625	330400
7/24/98	60.5625	61.3125	60.5625	60.875	310400
7/27/98	61.5	61.75	61.5	61.5	206000
7/28/98	63	63	62.125	62.125	322000
7/29/98	61	61.75	60.25	60.8125	233700
7/30/98	61.25	61.25	61.25	61.25	157100
7/31/98	NaN	NaN	NaN	NaN	NaN
8/3/98	60.375	60.625	59.5	59.625	195700
8/4/98	60.8125	60.8125	60.25	60.25	307400
8/5/98	60.25	60.25	58.5625	58.5625	267700
8/6/98	58.75	59.3125	57.9375	57.9375	146900
8/7/98	58.25	59.5	57.3125	57.75	188700
8/10/98	61	61	60.1875	60.1875	290400
8/11/98	59.875	59.875	57.4375	57.4375	103900
8/12/98	59.375	59.375	59.0625	59.0625	138600
8/13/98	59.125	59.625	57.75	57.875	89600
8/14/98	57.875	58	56.125	56.375	105100
8/17/98	57.625	57.625	57.0625	57.0625	436000
8/18/98	58.625	58.625	58.4375	58.4375	182900
8/19/98	58.625	59.125	57.875	57.875	135400
8/20/98	58	58.375	57.75	57.75	236500
8/21/98	56.125	57.375	56.125	56.125	251400
8/24/98	55.125	55.375	52.9375	52.9375	623800
8/25/98	53.25	54.25	52.3125	52.625	387800
8/26/98	53.75	53.75	53.375	53.375	285800
8/27/98	53.5	54.5	53.3125	53.3125	437300
8/28/98	53	53.4375	52.125	52.3125	331600
8/31/98	52.375	52.625	50.375	50.375	272600
9/1/98	49.25	49.75	49	49	342900
9/2/98	49	49.5	48.125	48.125	353700
9/3/98	48	48	47	47	1009000
9/4/98	47.75	48.0625	47.0625	47.0625	349100
9/7/98	NaN	NaN	NaN	NaN	NaN
9/8/98	47.5	48.3125	47.4375	47.9375	394700
9/9/98	48.125	48.125	46.375	46.875	623100
9/10/98	46	46.625	45.375	45.375	450300
9/11/98	46.875	46.875	46	46	513000
9/14/98	46	46.75	46	46.625	723100
9/15/98	46.875	47.875	46.5	46.625	211700
9/16/98	46.625	46.75	46.3125	46.375	416900
9/17/98	46.375	46.625	46	46	205600
9/18/98	47.625	47.625	47.5	47.5	309000
9/21/98	46.5625	46.8125	46.5625	46.5625	131600
9/22/98	46.75	47.3125	46.75	46.75	157500
9/23/98	48.4375	48.4375	48.4375	48.4375	127800
9/24/98	48.5	49.5	47.0625	47.0625	235000
9/25/98	47.125	48.1875	47.0625	47.0625	196900
9/28/98	47	47.875	47	47.25	205300
9/29/98	48.4375	48.4375	48.125	48.125	155700
9/30/98	47	48	47	47	245900
10/1/98	46	47	45.625	45.6875	301200
10/2/98	45.625	46.375	45.375	45.8125	331100
10/5/98	45.875	45.875	44	44	254000
10/6/98	45.4375	45.4375	45	45	186300
10/7/98	45.125	46.6875	45	45.5	202700
10/8/98	NaN	NaN	NaN	NaN	NaN
10/9/98	47.4375	47.4375	47.0625	47.0625	389200
10/12/98	49.375	49.375	48.5	48.5	241100
10/13/98	48.625	49	48	48.75	496700
10/14/98	48	48.8125	48	48.5625	409500
10/15/98	50.375	50.375	50.3125	50.3125	306800
10/16/98	50.375	51.1875	50	50	480000
10/19/98	52.4375	52.4375	51.8125	51.8125	195600
10/20/98	52.3125	52.5625	52.3125	52.3125	309200
10/21/98	52.375	52.5	52.125	52.375	166500
10/22/98	52.375	52.625	52	52	161800
10/23/98	51.75	51.75	51.125	51.25	208700
10/26/98	51.375	52.0625	51.25	51.4375	261300
10/27/98	52.1875	52.1875	52.0625	52.0625	237800
10/28/98	52.125	52.1875	50	50	250800
10/29/98	51.6875	51.6875	51.125	51.125	189800
10/30/98	51.625	52	51.0625	51.25	178500
11/2/98	54.625	54.625	53.8125	53.8125	173100
11/3/98	54.25	55.4375	54.1875	54.8125	254200
11/4/98	57.4375	57.4375	56.5	56.5	331700
11/5/98	59.1875	59.1875	59	59	198600
11/6/98	58.75	58.8125	57.25	57.625	214000
11/9/98	57.875	58	57.1875	57.1875	187900
11/10/98	56.0625	57	56.0625	56.0625	298100
11/11/98	56.125	57	54.625	54.625	222600
11/12/98	54.25	54.5	54.25	54.25	350600
11/13/98	54.25	55.875	54.125	54.25	230500
11/16/98	55.125	55.875	55.125	55.125	194300
11/17/98	56.375	56.375	56.125	56.125	141000
11/18/98	56	56.5	55.25	55.6875	165100
11/19/98	56	56	55.625	55.875	77300
11/20/98	56.375	56.375	56.375	56.375	91500
11/23/98	57.9375	57.9375	57.625	57.625	212200
11/24/98	57.625	59.5	57.125	57.125	259000
11/25/98	57	57.25	56.125	56.5625	190800
11/26/98	NaN	NaN	NaN	NaN	NaN
11/27/98	57.1875	57.1875	57.125	57.125	63200
11/30/98	56	57	56	56	303100
12/1/98	56.125	56.4375	54.625	54.875	295100
12/2/98	56.5	56.5	56.375	56.375	216700
12/3/98	56.125	57.5	56.125	56.5625	236300
12/4/98	56.625	57.4375	56.0625	56.625	193200
12/7/98	58.0625	58.0625	58	58	130100
12/8/98	58	58	57.8125	57.8125	208200
12/9/98	57.75	58	57.0625	57.0625	232500
12/10/98	57.375	57.4375	55.25	55.875	161400
12/11/98	56.375	56.75	55.8125	55.8125	156200
12/14/98	55.875	56.5	55.75	55.875	314200
12/15/98	55.625	55.625	54.25	54.875	148400
12/16/98	54.875	54.875	52	52.875	329000
12/17/98	53.25	54	53.25	53.25	204400
12/18/98	53.25	53.5	53.25	53.25	286900
12/21/98	52.625	53.25	52.375	52.4375	226100
12/22/98	52.4375	52.4375	51.125	51.875	201800
12/23/98	52	52	51.625	51.75	278700
12/24/98	53.125	53.125	53.0625	53.0625	87900
12/25/98	NaN	NaN	NaN	NaN	NaN				
12/28/98	53.625	54	52.125	52.3125	297600				
12/29/98	54	54	53.75	53.75	163600				
12/30/98	53.75	54.75	53.75	53.875	166000				
12/31/98	56	56	55.375	55.375	176800				
1/1/99	NaN	NaN	NaN	NaN	NaN				
1/4/99	55.375	57	55.375	55.9375	224700				
1/5/99	56.1875	56.1875	56	56	162100				
1/6/99	56	56.8125	55.4375	55.75	415300				
1/7/99	55	55.875	54	54.0625	253200				
1/8/99	55.625	55.625	55.375	55.375	450900				
1/11/99	55.625	55.625	54	54	406400				
1/12/99	54.25	54.9375	53.875	53.875	366200				
1/13/99	52.75	53.3125	52.75	52.75	517800				
1/14/99	53	53.6875	52.4375	52.4375	299400				
1/15/99	54.5	54.5	54.5	54.5	274700				
1/18/99	NaN	NaN	NaN	NaN	NaN			
1/19/99	54.3125	54.813	54.375	54.688	257500			
1/20/99	54.5625	55.875	54.688	55.188	218000			
1/21/99	53.5625	55.563	51.75	52	330200			
1/22/99	51.4375	52.188	50.688	50.75	236700			
1/25/99	50.5	51.875	50.875	51.25	361300			
1/26/99	50.5625	51.125	50	50.313	163400			
1/27/99	48.625	49	47.375	47.438	841000			
1/28/99	47.375	48	45.25	45.25	1203400			
1/29/99	45.625	46.375	44.563	44.938	520900			
2/1/99	47.25	47.25	46.5625	46.5625	556200			
2/2/99	46.3125	47.875	46.375	47.688	376800			
2/3/99	46.8125	47.25	44.688	45.25	344600			
2/4/99	45.125	46.688	45.25	46.5	301600			
2/5/99	46.375	47.5	45.813	46.063	409900			
2/8/99	46.375	46.75	45	45.125	204900			
2/9/99	44.9375	45.313	44	44.125	324000			
2/10/99	44	44.5	43.125	43.438	223500			
2/11/99	44.125	46	43.563	45.563	365800			
2/12/99	44.9375	45.813	43.875	44.188	254000			
2/15/99	NaN	NaN	NaN	NaN	NaN			
2/16/99	43.75	44.188	42	42.688	444000			
2/17/99	42.375	43.438	41.625	41.625	323500			
2/18/99	42.0625	42.625	41.125	41.625	392100			
2/19/99	42.1875	43.875	41.75	43.313	470600			
2/22/99	43	43.5	42	42.063	448400			
2/23/99	41.6875	43.375	41.688	43.313	420100			
2/24/99	42.9375	43.375	42.438	42.625	354600			
2/25/99	42.125	43.75	41.375	43	450800			
2/26/99	43	43.813	42.75	43.5	368100			
3/1/99	42.75	43.625	41	41	456400			
3/2/99	43.625	45.625	43.5	43.75	1061800			
3/3/99	43.875	45.4375	43.5625	43.8125	456700		
3/4/99	44	44.8125	44	44	357100		
3/5/99	45.5	45.5	45.3125	45.3125	227900		
3/8/99	47.875	47.875	46.5625	46.5625	543100		
3/9/99	47.375	47.875	47.125	47.5	650300		
3/10/99	47.625	47.6875	45.9375	45.9375	627300		
3/11/99	46.25	46.4375	45.25	45.375	530800		
3/12/99	46.375	46.75	46.375	46.375	270900		
3/15/99	49.4375	49.4375	48.75	48.75	846000		
3/16/99	48.5	48.5625	47.1875	47.5	512200		
3/17/99	47.375	47.9375	47.25	47.5	480400		
3/18/99	48.75	48.75	48.1875	48.1875	376500		
3/19/99	49	49.3125	49	49	475500		
3/22/99	48.75	48.75	48	48	197000		
3/23/99	49.9375	49.9375	49.9375	49.9375	972200		
3/24/99	50.1875	51.25	50.1875	50.1875	851800		
3/25/99	51.5	51.75	51.375	51.375	526500		
3/26/99	53.25	53.25	53.0625	53.0625	421500		
3/29/99	53.375	55.0625	53	53.4375	423900		
3/30/99	52.5	52.9375	51.125	51.75	431800		
3/31/99	54.375	54.375	54.375	54.375	508500		
4/1/99	53.0625	53.5	53.0625	53.0625	324800		
