International Business Machines Corporation (IBM)					
Daily prices (4/8/96 to 4/5/99)					
DATE	OPEN	HIGH	LOW	CLOSE	VOLUME
1/3/95	36.75	36.9063	36.6563	36.875	1167900
1/4/95	37	37.2813	36.625	37.1563	1994700
1/5/95	37.125	37.625	36.875	37	2270900
1/6/95	37.25	37.875	37.0313	37.5313	3040500
1/9/95	37.5	37.9063	37.4063	37.75	1713000
1/10/95	38	38.625	37.7813	38.2813	3420800
1/11/95	38.5313	38.5313	37.625	38	2450300
1/12/95	37.9063	38.1563	37.75	38	2275900
1/13/95	38.25	38.4063	37.875	38.1563	2030300
1/16/95	38.1563	39	38.1563	38.75	2716000
1/17/95	38.625	39	38.5313	38.75	1596300
1/18/95	38.875	38.9063	38.2813	38.625	1842600
1/19/95	38.5313	38.7813	38.1563	38.25	1713900
1/20/95	38.125	38.25	37.5	37.6563	3333400
1/23/95	36.875	37.25	36.1563	37.125	4913700
1/24/95	37.0313	37.4063	36.75	37	3176600
1/25/95	36.1563	36.5313	36	36.1563	3808000
1/26/95	36.1563	36.6563	36.125	36.1563	2156800
1/27/95	36.4063	36.5313	35.2813	36.25	2717100
1/30/95	36.375	36.5	35.75	35.875	1418500
1/31/95	36	36.4063	35.125	36.125	2742400
2/1/95	36.1563	36.9063	36.125	36.7813	3292000
2/2/95	36.75	37.1563	36.75	37.1563	1458600
2/3/95	37.4063	37.625	37.25	37.2813	2562800
2/6/95	37.25	37.4063	37.0313	37.1563	1352100
2/7/95	37.0313	37.1563	36.9063	37.125	1450700
2/8/95	37.0313	37.4063	37.0313	37.125	1496400
2/9/95	37.5	37.625	37.125	37.5	1974000
2/10/95	37.6563	37.875	37.5	37.5	1539000
2/13/95	37.5	37.6563	37.375	37.4063	1221800
2/14/95	37.5	37.7813	37.2813	37.7813	1696400
2/15/95	37.7813	37.9063	37.5313	37.7813	1626700
2/16/95	37.9063	38.125	37.75	37.75	1702400
2/17/95	37.7813	37.875	37.375	37.5	2918000
2/20/95	NaN	NaN	NaN	NaN	NaN
2/21/95	37.5	37.5313	37.0313	37.125	1557000
2/22/95	37.125	37.25	37.0313	37.125	1716000
2/23/95	37.375	37.875	37.0313	37.125	2206600
2/24/95	37.25	37.6563	37.125	37.4063	1563600
2/27/95	37.2813	37.6563	36.875	37	2053200
2/28/95	37	37.625	37	37.625	1799500
3/1/95	37.5313	38.1563	37.5313	37.6563	2050500
3/2/95	37.6563	38.6563	37.6563	38.625	2410800
3/3/95	38.5313	39.9063	38.5	39.7813	5564000
3/6/95	39.75	40.625	39.75	40.125	5043300
3/7/95	40.2813	40.4063	39.6563	39.9063	3450600
3/8/95	39.9063	40	39.25	39.875	3033300
3/9/95	40.1563	40.6563	40.1563	40.2813	3128400
3/10/95	40.4063	40.7813	40.1563	40.5313	2373100
3/13/95	40.75	41.5	40.75	41	3491200
3/14/95	41.25	41.375	40.75	40.75	2266900
3/15/95	40.6563	41.125	40.625	40.875	1771200
3/16/95	40.875	41.7813	40.7813	41.75	2845700
3/17/95	41.6563	41.7813	41.2813	41.2813	2967400
3/20/95	41.375	42	41.25	41.75	1842200
3/21/95	41.75	42	41.0313	41.125	1989000
3/22/95	41.0313	41.2813	40.625	40.7813	2447200
3/23/95	40.75	41.6563	40.75	41.6563	2764100
3/24/95	41.7813	42.1563	41.75	41.7813	2579500
3/27/95	41.9063	42.5313	41.9063	42.5	2028500
3/28/95	42.4063	42.4063	42.125	42.25	1353000
3/29/95	42.125	42.375	41.25	41.5	2971400
3/30/95	41.625	41.6563	40.875	41.1563	2957100
3/31/95	41.0313	41.75	40.6563	41.0313	2618000
4/3/95	41.25	41.75	41.125	41.4063	1894100
4/4/95	41.625	41.7813	41.25	41.5	1684600
4/5/95	41.4063	42.0313	41.4063	42	2008300
4/6/95	42.1563	42.2813	41.7813	41.9063	1486500
4/7/95	42	42.5313	41.75	42	2428300
4/10/95	42	43	42	43	2115600
4/11/95	42.9063	43.4063	42.7813	43.375	2581000
4/12/95	43.25	43.7813	43.0313	43.5313	1903200
4/13/95	43.5	43.6563	43.0313	43.1563	1381400
4/14/95	NaN	NaN	NaN	NaN	NaN
4/17/95	43.5	44.25	43.4063	43.9063	2189600
4/18/95	44.0313	44.25	43.5313	44.125	1968800
4/19/95	43.9063	44.125	43	43.5313	2576400
4/20/95	45	45.25	44.2813	44.5	5997700
4/21/95	44.6563	46	44.5313	45.7813	5886400
4/24/95	45.75	46.9063	45.5	46.75	4318900
4/25/95	46.6563	46.9063	46.4063	46.7813	3346300
4/26/95	46.5313	47.7813	46.4063	47.625	3699500
4/27/95	47.4063	48.4063	47.2813	48.375	3475100
4/28/95	48.0313	48.125	47.125	47.2813	5000600
5/1/95	46.9063	47.125	45.875	46	3403800
5/2/95	45.875	46.6563	45.7813	46.4063	3402800
5/3/95	46.6563	47.2813	46.5	47.1563	2672400
5/4/95	47.375	48.0313	46.625	46.7813	4357000
5/5/95	47.125	47.2813	46.4063	46.5313	3054800
5/8/95	46.375	47.625	46.2813	46.875	2703400
5/9/95	47.0313	47.1563	46.6563	46.7813	2779900
5/10/95	46.9063	47.5	46.9063	46.9063	2890900
5/11/95	46.75	47.5313	46.625	47.125	2584800
5/12/95	46.875	47.7813	46.875	47.125	2664400
5/15/95	47.25	47.6563	47.0313	47.4063	1908800
5/16/95	47.125	47.9063	47.125	47.2813	2733700
5/17/95	47.5	47.7813	47.375	47.375	2404500
5/18/95	47.2813	48.0313	46.5313	46.5313	3431400
5/19/95	46.125	46.875	46.125	46.6563	4064800
5/22/95	46.75	47.6563	46.75	47.625	2230100
5/23/95	47.75	48.7813	47.75	48.625	3529600
5/24/95	48.625	48.9063	47.25	48.0313	3161700
5/25/95	48.125	48.9063	47.9063	48.375	2887700
5/26/95	48.2813	48.75	47.25	47.5	2220800
