Walt Disney Company (DIS)					
Daily prices (3/29/96 to 3/29/99)					
DATE   	OPEN	HIGH   	LOW   	CLOSE   	VOLUME
10/8/98	24.375	24.813	22.625	23.5	9709800
10/7/98	25.375	25.938	24.563	24.938	4640400
10/6/98	25.822	26	24.938	25.375	4660000
10/5/98	25.1983	25.5	24.75	25.063	4217200
10/2/98	24.8864	25.75	24.5	25.25	5226000
10/1/98	24.9488	25.25	24.5	24.938	6923500
9/30/98	25.8843	26.188	25.063	25.375	5098900
9/29/98	26.1962	26.563	25.75	26	4424500
9/28/98	26.1338	26.313	25.813	26.25	4287000
9/25/98	25.4477	26	25.5	25.625	4355300
9/24/98	26.7576	27.125	25.75	25.875	6237800
9/23/98	26.2586	27	25.75	26.813	8515300
9/22/98	25.0735	25.5	24.938	25.188	6130700
9/21/98	24.9488	25.375	24.875	25.125	4935400
9/18/98	25.5725	25.875	25.125	25.563	7912200
9/17/98	24.9488	25.75	25	25.688	6213000
9/16/98	25.323	26	25.188	25.75	9691900
9/15/98	24.9488	25.5	24.813	25.5	10913900
9/14/98	25.1983	25.25	23.875	24.438	23693200
9/11/98	27.0694	27.938	25.75	25.813	7188600
9/10/98	27.2565	27.75	26.625	27.063	8250300
9/9/98	29.0029	29.063	27.563	27.813	8377300
9/8/98	29.689	30.188	28.125	29.125	8823500
9/7/98	NaN	NaN   	NaN   	NaN   	NaN
9/4/98	28.5663	28.75	27.5	28.25	7628400
9/3/98	29.4395	29.75	28	28.313	7247100
9/2/98	30.9365	31.875	29.563	29.875	8178200
9/1/98	28.4416	30.5	27.75	30.375	15202200
8/31/98	30.8117	31.25	26	27.438	11357500
8/28/98	30.9988	31.688	30.063	30.625	6975700
8/27/98	31.9344	32.5	30.938	31.75	7336100
8/26/98	33.1195	33.625	32.5	33	5450700
8/25/98	33.7432	34.688	33.625	34.063	4257700
8/24/98	33.868	33.938	32.813	33.375	3342100
8/21/98	33.1819	33.438	32.313	33.25	5263400
8/20/98	33.0571	33.875	32.938	33.625	3795800
8/19/98	33.6808	33.813	32.625	33.125	4538300
8/18/98	32.6205	33.625	32.125	33.5	5820300
8/17/98	31.4978	32.25	31.125	32.188	4376000
8/14/98	32.3087	32.438	31.25	31.75	4443600
8/13/98	32.4334	33.438	31.563	31.813	4841600
8/12/98	32.0592	32.938	32	32.438	6962800
8/11/98	32.2463	32.5	31.438	32.125	8492300
8/10/98	33.369	33.625	32.563	32.875	4465000
8/7/98	33.369	33.563	32.875	33.375	4860800
8/6/98	33.6185	34	33.063	33.313	5453100
8/5/98	33.3066	34.063	32.25	33.563	7727300
8/4/98	34.8659	35.188	32.75	32.813	7643000
8/3/98	34.4917	35	34.5	34.688	4172400
7/31/98	35.2401	35.5	34.25	34.438	3807200
7/30/98	35.3649	35.5	34	35.313	5524400
7/29/98	35.4273	35.75	35.063	35.375	4110500
7/28/98	36.1133	36.563	35.063	35.375	6213800
7/27/98	36.5499	36.688	36	36.625	3852800
7/24/98	36.5499	37	36.063	36.813	4224400
7/23/98	37.1113	37.875	36	36.25	4614400
7/22/98	37.0489	38	36.813	37.188	8498500
7/21/98	38.4305	38.563	37.438	37.75	6368200
7/20/98	39.2402	39.75	38.5	38.563	6316600
7/17/98	39.1779	39.563	38.813	39.375	5797300
7/16/98	38.3059	39.438	38.063	39.313	10007500
7/15/98	39.9253	40.313	39.188	39.375	8592900
7/14/98	39.6762	40.25	39.625	39.875	12580500
7/13/98	38.8665	39.563	38.375	39.375	15095000
7/10/98	37.1225	38.5	36.5	38.125	15635500
7/9/98	36.1466	37.146	36.167	37	12831600
7/8/98	35.3992	36.313	35.521	36.104	9512700
7/7/98	35.3785	35.667	35.333	35.521	8871300
7/6/98	35.2954	35.438	34.938	35.271	7764000
7/3/98	NaN	NaN   	NaN   	NaN   	NaN
7/2/98	35.2331	35.479	35.083	35.479	8094000
7/1/98	35.3785	35.833	35.354	35.417	14211900
6/30/98	36.2505	36.583	35.021	35.021	22053600
6/29/98	37.2886	37.917	37.292	37.729	5318100
6/26/98	37.2886	37.458	36.792	36.833	4543200
6/25/98	37.5169	37.979	37.188	37.5	6165900
6/24/98	36.5204	37.771	36.563	37.563	6162900
6/23/98	36.4996	36.792	36.208	36.583	6187800
6/22/98	35.0878	36.313	34.833	36.25	15149100
6/19/98	36.3958	36.625	35.625	35.854	20839500
6/18/98	37.9737	38.146	37.313	37.333	7202100
6/17/98	37.8699	38.75	37.667	38.104	6448500
6/16/98	37.5377	38.042	37.417	37.625	6045600
6/15/98	37.7661	38.333	37.396	37.396	4677900
6/12/98	38.6173	38.833	37.75	38.354	5778900
6/11/98	39.3232	39.583	38.688	38.729	4619700
6/10/98	39.0326	39.896	39	39.438	6919800
6/9/98	38.5135	38.833	38.25	38.833	4064400
6/8/98	38.0983	38.646	37.875	38.625	6111300
6/5/98	37.5169	38.313	37.333	38.229	8779200
6/4/98	36.3127	36.625	36.021	36.521	3837300
6/3/98	36.811	37.125	36.354	36.521	3902700
6/2/98	37.1432	37.333	36.521	36.708	6273600
6/1/98	37.8284	37.958	36.792	36.938	4043100
5/29/98	37.8699	38.083	37.708	37.75	3126300
5/28/98	37.9737	38.125	37.333	37.792	3583200
5/27/98	36.8526	38.292	36.896	38.104	7127700
5/26/98	38.7627	38.917	37.021	37.25	5850300
5/25/98	NaN	NaN   	NaN   	NaN   	NaN
5/22/98	38.6588	38.917	38.5	38.771	3896700
5/21/98	38.1606	38.917	38.208	38.646	5635800
5/20/98	37.0394	38.396	37.125	38.208	6726300
5/19/98	36.9564	37.271	36.708	36.979	6996300
5/18/98	36.8733	37.5	36.354	36.563	9069600
5/15/98	38.036	38.188	36.854	36.875	15075000
5/14/98	38.6796	39.125	38.5	38.688	7164000
5/13/98	39.4686	39.875	39.333	39.5	4191600
5/12/98	40.0707	40.208	39.583	39.604	3639900
5/11/98	39.8215	40.417	39.875	40.292	3866400
5/8/98	39.6139	39.979	39.625	39.833	6101400
5/7/98	40.0291	40.188	39.646	39.729	10990200
5/6/98	42.0223	42.188	41.333	41.396	3044100
5/5/98	42.4583	42.604	41.583	42.229	3891600
5/4/98	42.0846	42.792	42.104	42.375	4401000
5/1/98	41.5032	41.896	41.458	41.896	3708300
4/30/98	41.4617	41.875	41.354	41.521	5050500
4/29/98	41.171	41.5	41	41.292	4371300
4/28/98	41.1088	41.333	40.833	41.167	7529700
4/27/98	40.0499	40.479	39.75	40.313	7298400
4/24/98	41.088	41.229	39.938	40.708	15503700
4/23/98	41.524	42.542	41.146	41.229	27110400
4/22/98	38.7211	40.667	38.563	40.667	3779400
4/21/98	38.3682	38.979	38.167	38.917	4706400
4/20/98	37.7038	38.625	37.813	38.458	5312100
4/17/98	37.2886	37.813	37.208	37.792	3988800
4/16/98	37.683	37.813	37.313	37.333	3937500
4/15/98	37.7038	38.271	37.5	37.854	6006900
4/14/98	37.2886	37.75	37.167	37.729	4808700
4/13/98	36.2297	36.792	36.313	36.75	3679200
4/10/98	NaN	NaN   	NaN   	NaN   	NaN
4/9/98	35.6484	36.479	35.5	36.354	3707100
4/8/98	35.8767	36	35.229	35.667	3212100
4/7/98	35.9598	36.146	35.688	35.958	2423100
4/6/98	36.8818	37.063	36.083	36.125	3067200
4/3/98	36.4671	36.979	36.042	36.979	4285800
4/2/98	35.161	36.313	35.146	36.292	4602900
4/1/98	35.4927	35.667	34.979	35.333	4510800
3/31/98	35.1403	35.833	35.167	35.583	3702600
3/30/98	35.4927	35.833	35.167	35.188	2751900
3/27/98	35.8037	36.063	35.667	35.75	3158700
3/26/98	35.2025	36.042	35.375	35.896	3201000
3/25/98	35.4927	35.792	35.292	35.625	3600300
3/24/98	34.8293	35.771	34.875	35.646	7920900
3/23/98	34.6635	35.25	34.25	34.333	7702500
3/20/98	35.3269	35.667	35.125	35.667	5051400
3/19/98	35.6378	35.896	35.25	35.438	3236700
3/18/98	35.5757	35.833	35.333	35.771	3006300
3/17/98	35.9903	36.25	35.563	35.896	3290700
3/16/98	35.3061	36.667	35.396	36.542	3783600
3/13/98	35.783	35.958	35.021	35.333	3015000
3/12/98	34.8915	35.438	34.854	35.313	3252300
3/11/98	34.9952	35.188	34.792	34.938	3502800
3/10/98	35.2232	35.396	35.167	35.292	3060300
3/9/98	34.9537	35.479	35.083	35.271	3371400
3/6/98	35.2025	35.479	35.042	35.208	3966900
3/5/98	34.8293	35.292	34.917	35.063	6539400
3/4/98	35.4513	35.646	34.896	35.625	11502000
3/3/98	36.2598	36.896	36.333	36.667	3114300
3/2/98	36.9025	37.313	36.333	36.458	3685200
2/27/98	36.1561	37.542	36.333	37.313	4512300
2/26/98	36.4878	37.042	36.333	36.667	4365300
2/25/98	36.9647	37.375	37	37.083	4146900
2/24/98	37.711	37.979	37.188	37.313	5007900
2/23/98	38.0013	38.583	37.833	38.021	4515300
